"","Alopacce","Alopcune","Alopfabr","Arctlute","Arctperi","Auloalbi","Pardlugu","Pardmont","Pardnigr","Pardpull","Trocterr","Zoraspin"
"Pitf   1",2,18,0,1,0,15,0,13,67,133,72,10
"Pitf   2",25,10,0,0,0,4,0,60,12,45,57,4
"Pitf   3",7,47,0,0,0,21,0,26,29,52,82,3
"Pitf   4",2,63,0,0,0,10,0,19,44,48,99,6
"Pitf   5",8,14,2,2,0,5,0,71,8,45,58,1
"Pitf   6",13,3,0,0,0,3,0,71,5,26,24,5
"Pitf   7",8,41,0,0,0,18,0,36,21,51,83,4
"Pitf   8",0,2,0,0,0,30,1,1,15,37,65,9
"Pitf   9",15,20,2,2,0,9,1,29,18,45,66,1
"Pitf  10",4,14,0,3,0,19,1,15,29,89,52,6
"Pitf  11",2,6,0,1,0,24,1,7,29,94,86,25
"Pitf  12",17,17,0,1,0,5,0,90,11,18,30,3
"Pitf  13",10,14,0,4,0,19,0,51,5,28,62,3
"Pitf  14",3,11,0,5,0,13,0,30,14,52,85,9
"Pitf  15",2,17,0,8,0,11,0,8,41,107,127,22
"Pitf  16",1,20,0,2,0,9,1,2,135,76,91,17
"Pitf  17",7,42,0,0,0,12,0,29,35,34,64,8
"Pitf  18",1,19,0,5,0,11,0,10,38,69,110,11
"Pitf  19",0,6,0,6,0,6,0,11,27,24,63,34
"Pitf  20",24,8,0,14,0,5,0,23,27,35,79,4
"Pitf  21",6,10,0,0,0,7,1,24,43,86,79,16
"Pitf  22",2,35,0,0,0,10,0,16,99,129,117,27
"Pitf  23",0,0,0,0,0,6,0,0,62,50,121,25
"Pitf  24",2,7,0,12,0,16,1,30,89,105,118,16
"Pitf  25",3,7,0,6,0,11,1,17,38,96,137,19
"Pitf  26",3,6,0,0,3,0,0,11,3,0,5,1
"Pitf  27",1,30,0,1,0,12,10,11,15,7,57,6
"Pitf  28",0,7,0,0,0,1,57,0,4,3,34,9
"Pitf  29",0,11,0,0,0,7,55,2,2,1,30,3
"Pitf  30",0,2,0,0,0,1,56,0,2,2,38,7
"Pitf  31",5,16,3,0,0,3,0,41,6,5,10,1
"Pitf  32",11,5,0,0,0,0,0,69,1,0,5,0
"Pitf  33",4,7,1,0,0,1,1,48,2,4,13,1
"Pitf  34",8,10,0,0,0,0,0,58,0,1,14,0
"Pitf  35",1,24,0,0,0,22,11,58,28,17,61,16
"Pitf  36",8,21,0,0,0,5,1,158,6,12,32,1
"Pitf  37",1,1,0,0,0,0,0,26,1,1,2,0
"Pitf  38",3,0,1,0,0,0,0,22,0,0,1,0
"Pitf  39",15,1,2,0,0,1,0,95,0,1,4,0
"Pitf  40",0,25,0,3,1,22,3,35,13,46,55,15
"Pitf  41",16,13,0,0,0,0,0,96,1,8,13,0
"Pitf  42",12,1,0,0,0,0,0,36,0,2,7,0
"Pitf  43",16,2,0,0,1,0,0,71,0,2,3,0
"Pitf  44",12,28,1,0,0,9,0,189,7,21,28,10
"Pitf  45",1,12,0,0,0,23,1,6,110,56,55,22
"Pitf  46",0,4,0,0,0,4,2,4,3,8,25,14
"Pitf  47",11,16,0,0,0,6,0,170,2,17,31,0
"Pitf  48",1,15,0,0,0,0,1,19,1,7,6,0
"Pitf  49",3,43,1,2,0,18,1,24,53,72,97,22
"Pitf  50",0,2,0,1,0,4,3,14,15,72,94,32
"Pitf  51",0,7,0,0,0,8,17,0,13,2,31,16
"Pitf  52",0,7,0,0,0,0,7,1,9,0,33,7
"Pitf  53",0,1,0,0,0,0,12,0,5,0,19,2
"Pitf  54",0,0,0,0,0,0,6,0,0,0,25,3
"Pitf  55",1,0,0,0,0,0,3,0,0,0,13,1
"Pitf  56",0,11,0,0,0,8,27,0,15,0,41,11
"Pitf  57",0,3,0,0,0,0,6,0,2,0,28,4
"Pitf  58",0,0,0,0,0,0,4,0,0,0,13,5
"Pitf  59",0,0,0,0,0,0,2,0,0,0,23,2
"Pitf  60",0,1,0,0,0,0,5,0,0,0,25,0
"Pitf  61",0,1,0,0,0,0,12,0,1,0,22,3
"Pitf  62",0,2,0,0,0,0,13,0,0,0,22,2
"Pitf  63",0,0,0,0,0,0,46,0,0,0,17,2
"Pitf  64",0,1,0,0,0,0,16,0,0,0,32,2
"Pitf  65",0,0,0,0,0,0,8,0,0,0,23,4
"Pitf  66",0,0,0,0,0,0,17,0,0,0,25,5
"Pitf  67",0,1,0,0,0,0,11,0,0,0,20,7
"Pitf  68",0,0,0,0,0,0,23,0,0,0,21,4
"Pitf  69",0,1,0,0,0,0,0,0,0,0,9,0
"Pitf  70",0,0,0,0,0,0,4,0,0,0,10,2
"Pitf  71",0,3,0,0,0,0,28,1,0,0,30,1
"Pitf  72",0,0,0,0,0,1,14,0,0,0,16,4
"Pitf  73",0,0,0,0,0,0,7,0,0,0,11,0
"Pitf  74",0,1,0,0,0,0,16,1,0,1,18,2
"Pitf  75",0,1,0,0,0,0,22,0,0,0,25,5
"Pitf  76",7,0,16,0,4,0,0,2,0,0,1,0
"Pitf  77",17,0,16,0,3,0,0,5,0,0,0,0
"Pitf  78",17,0,15,0,7,0,2,6,0,0,1,0
"Pitf  79",11,0,20,0,5,0,0,3,0,0,0,0
"Pitf  80",9,1,9,0,0,2,1,11,6,0,16,6
"Pitf  81",6,6,3,0,5,0,2,4,6,0,37,11
"Pitf  82",3,0,6,0,18,0,0,0,0,0,1,0
"Pitf  83",29,0,11,0,4,0,0,1,0,0,0,0
"Pitf  84",14,0,12,0,2,0,1,4,0,0,1,0
"Pitf  85",14,1,14,0,1,0,0,9,4,0,3,0
"Pitf  86",7,1,12,0,4,1,0,0,0,0,0,0
"Pitf  87",3,0,9,0,8,0,1,1,0,0,1,0
"Pitf  88",3,0,8,0,2,0,0,5,0,0,0,0
"Pitf  89",15,0,14,0,1,0,0,6,0,0,2,0
"Pitf  90",9,0,12,0,2,0,0,7,0,0,0,0
"Pitf  91",6,0,9,0,6,0,0,0,0,0,2,0
"Pitf  92",6,1,11,0,5,0,0,2,0,1,1,0
"Pitf  93",5,1,15,0,7,0,0,3,0,0,1,0
"Pitf  94",9,3,6,0,2,1,0,17,0,0,1,0
"Pitf  95",14,4,6,0,0,0,0,11,0,0,2,0
"Pitf  96",25,1,13,0,1,0,0,1,0,0,0,0
"Pitf  97",8,0,13,0,4,0,0,0,0,0,0,0
"Pitf  98",14,0,25,0,4,0,0,3,0,0,0,0
"Pitf  99",12,0,17,0,3,0,0,7,0,0,1,0
"Pitf 100",35,10,17,0,1,0,0,29,0,0,0,0
