plot;sample;Soil organic C;Soil N;Soil C:N;soil moisture
guaran_c8;1;3,07;0,29;10,59;27,22
guaran_a7;2;4,51;0,35;12,89;37,55
guaran_b6;3;3,03;0,32;9,47;30,86
guaran_a5;4;4,43;0,40;11,08;33,13
guaran_a3;5;4,82;0,43;11,21;30,67
guaran_b2;6;3,15;0,30;10,50;26,16
guaran_a1;7;4,12;0,36;11,44;33,53
Mora_13;1;1,62;0,18;9,00;23,33
Mora_22;2;2,23;0,33;6,76;29,45
Mora_34;3;2,7;0,24;11,25;22,67
Mora_43;4;2,85;0,25;11,40;30,25
Mora_54;5;2,62;0,25;10,48;30,53
Mora_15;6;2,22;0,26;10,40;26,31
cebil_12;1;3,5;0,37;9,46;31,49
cebil_23;2;3,58;0,38;9,42;23,97
cebil_31;3;3,11;0,34;9,15;32,85
cebil_d4;4;4,98;0,43;11,58;23,60
cebil_d3;5;3,3;0,36;9,21;25,54
cedro.nogal_1.3;1;3,11;0,33;9,42;26,23
cedro.nogal_1.1;2;2,45;0,29;8,45;22,22
cedro.nogal_2.2;3;5,84;0,61;9,57;30,75
cedro.nogal_3.2;4;3,07;0,31;9,90;24,46
cedro.nogal_3.3;5;3,03;0,32;9,47;27,73
cedro.nogal_4.5;6;3,07;0,33;9,30;25,14
Lig.15_D1;1;3,24;0,32;10,13;14,48
Lig.15_B1;2;4,54;0,46;9,87;19,66
Lig.15_C3;3;3,77;0,35;10,77;17,20
Lig.15_A4;4;4,51;0,39;11,56;20,13
Lig.15_D4;5;3,29;0,33;10,50;17,61
Lig.25_A3;1;4,61;0,40;11,53;19,77
Lig.25_B5;2;6,47;0,52;12,44;23,51
Lig.25_C2;3;5,08;0,43;11,81;18,79
Lig.25_D4;4;4,54;0,42;10,81;21,69
Lig.25_E1;5;4,98;0,38;13,11;23,93
Lig.45_A5;1;2,85;0,27;10,56;20,06
Lig.45_B2;2;5,85;0,32;18,28;16,94
Lig.45_C4;3;3,39;0,33;10,27;20,49
Lig.45_D1;4;6,16;0,62;9,94;14,47
Lig.45_E3;5;3,23;0,32;10,09;19,26
Lig.60_A3;1;6,24;0,62;10,06;21,29
Lig.60_A1;2;5,47;0,59;9,27;23,88
Lig.60_C2;35;2,57;4,51;8,27;22,29
Lig.60_C3;4;0,63;10,00;8,60;22,13