"","agon fuli","agon muel","amar aene","amar apri","amar auli","amar bifo","amar comm","amar eury","amar fami","amar luni","amar pleb","anch dors","asap flav","bemb aene","bemb brux","bemb gutt","bemb lamp","bemb mann","bemb obtu","bemb tetr","brad harp","brad rufi","cala fusc","cala mela","cala micr","cara arve","cara glab","cara gran","cara nemo","cara nite","cara prob","cara viol","cliv foss","cych cara","dysc glob","elap cupr","elap ulig","harp affi","harp latu","harp rufi","leis term","lori pili","nebr brev","nebr sali","noti aqua","noti bigu","noti germ","noti palu","noti subs","olis rotu","patr assi","patr atro","poec vers","pter adst","pter dili","pter madi","pter mela","pter nige","pter nigr","pter rhae","pter stre","pter vern","stom pumi","synu viva","trec micr","trec obtu","trec quad","trec rube"
"1",0,51,25,0,0,0,1,0,0,0,40,4,0,356,0,2,96,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,221,0,0,0,0,1,0,8,0,64,150,0,0,1,0,0,0,0,0,0,0,0,0,1,367,5,0,0,24,0,0,1,0,0,1,0
"2",0,59,2,0,0,0,2,0,0,0,4,0,0,626,0,9,148,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,3,0,28,6,0,1,4,0,0,2,0,0,0,0,0,0,1,398,12,0,0,49,0,0,1,1,0,19,0
"3",0,0,0,0,0,0,3,0,0,18,5,0,0,0,0,1,0,0,0,0,0,0,35,31,0,13,0,1,0,0,11,8,7,0,0,0,0,0,12,1,0,9,1,0,0,0,1,0,0,0,0,0,5,0,2,56,39,5,1,2,2,1,0,1,0,0,0,0
"4",0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,106,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,4,0,0,1,0,0,0,0,0,0,1,0,0,8,61,4,0,0,0,1,0,0,0,0,0,0
"5",0,29,1,0,0,0,2,0,0,0,1,0,0,0,0,0,67,10,0,0,0,0,3,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,0,0,11,0,2,0,5,27,13,5,2,16,0,0,0,0,0,0
"6",0,0,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,3,0,7,6,0,32,0,0,0,0,82,18,0,1,0,0,0,0,8,0,0,7,4,0,18,3,1,2,0,0,0,0,0,0,0,121,35,34,0,0,1,1,0,1,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50,6,0,4,0,0,0,13,11,0,1,3,0,0,0,4,0,21,0,0,1,45,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0
"8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,0,5,0,0,0,3,3,0,1,0,0,0,0,0,0,10,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,96,19,5,8,0,0,0,56,1,2,0,0,0,0,0,2,0,3,0,0,15,13,3,1,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"10",0,27,1,0,0,0,0,0,1,0,5,0,0,16,0,39,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,99,21,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,1,0,3,0,1,25,0,2,0
"11",0,18,0,0,0,0,0,0,6,0,8,1,0,1,0,6,8,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,1,0,0,3,0,0,23,0,24,0
"12",0,44,0,0,1,0,0,0,0,0,4,28,0,0,48,47,6,0,0,82,0,0,0,445,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,42,40,0,0,0,0,0,0,0,0,0,2,0,0,1,526,3,0,0,1,2,0,2,2,0,122,0
"13",0,29,0,0,0,0,0,0,0,0,5,71,0,33,0,16,1,0,0,13,0,0,0,268,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,112,10,0,0,0,0,0,0,0,0,0,0,0,0,0,497,9,1,0,0,0,0,0,2,0,286,0
"14",0,50,7,0,0,0,0,0,8,0,50,3,0,9,0,11,1,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,72,9,0,0,3,0,0,1,0,0,0,0,0,0,0,42,8,0,0,0,0,0,0,18,0,12,0
"15",0,82,2,0,0,0,2,0,5,0,169,11,1,0,0,17,38,0,0,12,0,0,0,111,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,76,94,0,0,2,0,0,0,0,0,0,7,0,0,5,478,22,0,0,9,25,0,4,1,0,76,0
"16",0,57,0,0,0,0,0,0,0,0,1,1,0,0,29,76,113,0,0,141,0,0,0,61,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,1,0,16,47,1,0,3,0,0,0,1,0,0,1,0,0,2,549,2,0,0,1,1,0,11,1,0,215,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,53,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,15,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,256,1,0
"18",0,0,0,0,0,0,4,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,408,268,0,0,0,0,0,0,7,0,8,0,0,0,0,0,2,0,0,2,9,1,4,1,0,0,1,0,0,0,0,4,0,9,0,1,0,0,0,0,0,0,0,0,2,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,1,1,0,0,0,0,27,2,0
"20",0,3,0,0,0,9,9,0,41,3,117,1,0,0,0,0,12,0,0,0,0,0,309,22,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,58,187,0,0,18,0,0,44,0,0,1,0,0,0,66,65,0,0,0,0,0,0,5,0,0,24,0
"21",0,0,0,0,1,0,34,1,6,0,10,0,0,0,0,0,0,0,0,0,0,0,399,112,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,1,0
"22",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,0,0,0,0,20,209,32,0,0,2,0,0,0,0,40,9,0,0,95,4,3,23,31,37,2,0,0,0,0,1,0,4
"23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,11,0,0,0,0,1,0,5,64,2893,0,0,5,0,0,1,0,5,589,0,0,4,13,76,57,4,0,3,0,0,0,1,56,0,1
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,33,10,0,0,0,4,0,0,0,39,0,0,4,4,182,6,4,0,1,0,3,7,0,1,21,4,12,0,4,1,14,0,0,0,0,0,1,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,11,0,14,0,15,2,1,0,0,4,1,1,0,1,0,0,7,0,255,4,4,0,0,0,0,5,0,0,0,9,5,0,0,0,89,0,0,0,0,0,0,0,0
"26",0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,4,2,14,0,5,5,4,2,1,0,0,1,0,7,0,0,0,2,98,10,11,0,2,0,0,8,0,163,0,3,169,0,51,0,15,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,136,87,0,4,0,0,0,0,12,43,84,0,0,0,0,0,1,0,0,6,29,16,0,3,0,0,0,0,6,0,8,2,0,262,0,43,22,15,0,0,0,0,0,0,0,0
"28",0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,4,0,2,47,43,0,0,0,0,7,45,11,0,0,0,0,0,0,24,0,2,0,24,3,0,24,81,146,1,3,0,0,0,0,0,0
"29",0,0,0,0,27,1,6,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,31,29,0,0,0,5,11,1,8,0,21,0,0,0,0,0,4,0,0,7,209,14,0,1,1,0,0,0,12,0,31,1,0,136,0,79,9,4,0,1,0,2,0,0,1,0
"30",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,34,2,1,0,0,0,0,0,1,0,0,38,0,40,17,14,0,0,1,0,14,0,0,9,14,0,0,0,0,146,0,0,0,0,0,3,0,0
"31",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,31,15,3,2,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,31,0,0,2,8,0,0,3,0,102,0,0,0,0,0,1,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,149,10,2,0,0,0,0,0,1,0,0,2,0,0,1,1,4,0,0,0,41,0,1,10,30,0,0,0,0,17,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,36,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,8,1,2,7,3,10,0,0,0,0,0,14,0,0,2,0,163,16,3,0,0,0,0,5,0,106,5,0,385,0,53,0,2,0,0,0,0,0,3,0,0
"34",0,92,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,291,541,0,0,0,0,0,0,0,0,14,0,0,0,2,70,15,39,0,18,7,0,0,31,0,1,0
"35",0,63,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,114,0,0,1,0,0,0,0,0,103,632,1,0,0,0,0,0,0,0,4,0,0,2,0,82,19,32,0,47,9,0,0,20,0,0,1
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,3,0,0,0,0,5,1,1,1,0,0,0,0,0,1,0,0,0,6,0,0,2,4,25,2,1,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,28,1,0,6,0,43,0,0,0,0,0,0,0,0
"38",0,2,0,4,0,1,0,0,10,0,140,7,0,0,0,2,1,0,0,1,0,0,507,150,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,134,33,0,0,11,0,0,11,0,0,0,0,0,0,5,420,20,0,0,0,0,0,2,0,0,225,0
"39",0,3,0,2,0,0,1,1,1,0,70,1,0,0,0,0,4,0,0,0,0,0,1158,49,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,37,83,0,0,12,0,0,2,0,0,0,0,0,0,2,135,16,0,0,1,0,0,0,0,0,47,0
"40",0,3,0,2,0,0,0,0,11,0,5,7,0,5,0,50,9,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,35,0,0,13,0,0,0,0,0,0,0,0,0,1,137,8,0,0,1,0,0,0,0,0,308,0
"41",0,0,0,2,0,0,0,1,22,0,2,67,0,200,0,87,93,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,100,0,0,71,0,0,0,0,0,0,0,0,0,2,124,59,0,0,0,0,0,0,0,1,592,0
"42",0,0,0,30,1,0,0,0,7,0,2,1,0,0,0,1,41,0,0,0,0,0,551,141,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,3,0,0,16,0,0,0,0,0,0,0,1,0,12,9,0,0,0,0,0,0,0,0,8,122,0
"43",0,1,0,1,0,0,0,0,9,0,3,1,0,0,0,3,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,6,24,5,0,18,0,0,0,0,0,0,0,0,0,28,44,4,0,0,0,0,0,0,0,0,176,0
"44",0,5,0,2,0,5,1,0,0,0,358,0,0,0,0,0,7,0,0,4,0,0,480,46,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,18,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,1,2,0,67,0
"45",0,24,0,2,0,16,0,0,2,0,27,27,0,0,0,1,5,0,0,74,0,0,1955,318,0,0,0,0,10,0,0,0,18,0,0,1,0,0,0,0,0,39,341,0,0,1,0,0,2,0,0,0,0,0,0,4,0,7,0,0,2,0,0,6,0,12,411,0
"46",0,0,0,0,0,10,0,0,1,11,102,5,1,0,0,0,0,0,0,1,0,0,1100,88,0,0,0,0,0,0,0,0,33,0,0,0,0,1,0,1,0,69,430,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,1,0,1,0,0,0,5,0,198,0
"47",0,0,0,2,0,4,0,0,1,2,147,0,0,0,0,0,1,0,0,1,0,0,227,169,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,6,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,7,107,0
"48",0,1,0,1,1,2,0,0,3,1,9,2,0,0,0,1,0,0,0,31,0,0,41,338,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,111,30,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,25,0,0,1,2,18,674,0
"49",0,1,0,0,0,0,0,0,2,1,61,6,0,0,0,3,0,0,0,18,0,0,72,48,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,60,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,8,0,0,1,2,26,114,0
"50",0,0,0,1,0,1,1,0,4,0,31,6,0,0,0,0,0,0,0,27,0,0,180,134,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,1,1,211,88,0,0,2,0,0,0,0,0,0,0,0,0,2,0,61,1,0,3,0,0,1,0,114,300,0
"51",0,13,0,0,0,4,2,0,2,3,12,21,0,2,1,83,126,0,85,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,11,233,0,0,3,0,0,1,0,0,0,0,0,0,410,35,4,0,0,0,0,3,59,0,0,126,0
"52",0,82,0,0,0,45,0,2,3,4,126,53,0,1,0,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,1,110,9,0,0,15,0,0,3,0,0,1,0,0,1,2783,46,1,0,0,0,0,4,105,0,0,135,0
"53",0,16,0,4,0,0,0,0,1,0,14,155,0,6,1,126,150,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,28,308,3,0,2,0,0,1,0,0,0,0,0,0,39,4,3,1,0,1,0,2,1,0,0,167,0
"54",0,20,0,21,0,1,0,0,1,0,17,201,0,11,1,128,226,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,2,0,21,389,5,0,2,0,0,0,0,0,1,0,0,0,63,5,4,0,0,0,0,2,2,0,1,207,0
"55",0,2,0,1,0,0,1,5,1,0,24,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,774,0,0,0,0,0,0,0,0,2,0,0,0,5,900,477,2,0,0,1,0,2,0,0,103,0
"56",0,5,0,6,0,0,2,0,1,0,13,53,0,1188,0,72,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,17,461,0,0,9,0,0,0,0,0,25,0,0,0,11,1994,1037,2,0,7,0,1,3,0,0,307,0
"57",0,3,0,77,0,0,0,1,1,0,8,15,1,264,0,117,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,2,0,117,0,55,606,0,0,11,0,0,0,0,0,31,0,0,0,18,3892,1347,0,1,2,0,0,5,4,0,469,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,7,0,0,0,66,26,0,8,0,0,0,0,0,0,33,9,2,1,0,21,0,0,0,0,1,0,0,0,0,35,0,39,0,2,1,0,0,0,0,3,0,0
"59",0,2,0,0,0,0,6,0,2,0,31,0,0,1,0,5,0,0,0,0,4,0,12,49,31,1,1,0,1,0,16,3,1,27,0,0,0,0,0,0,89,23,3,3,1,11,0,3,0,0,3,0,0,0,3,40,0,4,0,0,22,0,1,3,0,31,3,0
"60",0,1,0,0,0,0,2,0,1,0,27,0,0,0,0,3,14,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,12,105,1,0,3,0,0,1,0,0,0,0,0,0,69,2,0,1,1,1,0,2,10,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,36,12,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,2,2,0,32,0,3,0,0,0,0,0,0,0,0
"62",0,3,0,2,0,0,1,0,1,0,9,0,0,0,0,0,16,0,0,0,1,1,101,83,4,45,1,0,14,0,35,1,0,2,0,0,0,0,1,0,0,17,12,994,94,32,6,1,1,14,65,0,0,280,40,15,5,11,0,8,0,0,1,3,0,0,4,0
"63",0,20,0,1,7,44,13,0,0,1,0,0,0,0,0,24,0,0,0,0,2,0,38,0,0,0,0,0,1,0,9,0,8,1,0,0,0,0,0,0,0,5,315,2,1,1,0,0,0,0,0,0,0,0,0,106,0,5,9,0,32,0,0,0,0,0,2,0
"64",0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,1,0,0,0,4,5,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,2,153,0
"65",0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,3,0,32,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1346,0,0,12,10,1,0,0,1,0,0,0,0
"66",0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,146,0,0,1,0,0,0,0,0,11,26,10,1,15,0,0,0,0,0,0,0,0,0,26,0,0,15,2,124,0,0,0,0,2,5,1
"67",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,34,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,46,0,0,0,0,368,0,0
"68",0,33,0,0,0,0,7,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,167,1,0,0,0,0,0,0,1,0,30,0,0,0,0,1,0,0,0,15,156,3,2,6,0,0,0,0,0,0,0,0,0,362,0,1,2,0,30,0,0,5,0,0,8,0
"69",0,0,0,0,0,0,4,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,344,19,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,5,117,74,8,0,0,0,1,0,0,0,0,0,0,1778,0,2,0,0,0,0,0,0,0,1,1,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,188,0,3,0,0,12,0,84,0,0,0,0,0,0,0,0,0,0,1,0,55,0,0,0,0,0,11,24,0,0,0,0,1453,0,4,1,0,0,0,0,0,0,10,0,0
"71",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,22,0,7,0,7,0,0,0,0,0,1,0,0,0,38,0,1,7,0,0,0,0,0,0,0,0,0,639,0,9,3,0,4,0,0,0,0,0,6,0
"72",0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,1,5,0,1,0,0,0,0,0,0,0,2,0,18,0,0,0,0,1,0,0,0,1,3,8,2,7,0,0,0,0,0,0,0,0,0,32,0,0,0,0,4,0,0,0,0,16,42,0
"73",0,12,0,0,0,0,0,0,1,5,102,10,0,0,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,48,184,0,0,0,0,0,0,0,0,0,0,0,0,285,4,1,0,0,3,0,0,10,0,0,15,0
"74",0,32,0,1,0,0,2,0,0,1,345,8,0,4,0,21,9,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,86,154,0,0,4,0,0,32,0,0,0,0,0,1,186,1,0,0,0,5,1,2,2,0,0,32,0
"75",0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,5,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,0,0,0,0,0,0,0,0,1,0,0,0,177,1,0,1,0,0,0,0,2,1,1,7,0
"76",0,8,0,0,0,0,0,0,0,0,16,1,0,5,0,2,7,10,0,0,0,0,21,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,15,61,0,0,0,0,0,0,0,0,0,0,0,0,104,3,0,1,8,16,0,0,3,1,0,0,0
"77",11,76,0,0,0,0,4,0,0,0,37,0,1,15,1,30,2,0,0,0,0,0,3,9,0,0,0,0,0,0,0,1,9,0,27,0,0,0,1,0,0,233,150,0,0,1,0,0,0,0,0,0,0,0,15,2,31,13,23,1,73,3,0,0,0,0,3,0
"78",3,56,0,0,0,0,2,0,0,0,57,0,0,54,0,21,3,0,0,0,0,0,5,29,1,0,0,0,0,0,0,0,26,0,10,0,0,0,0,1,0,220,359,0,0,1,0,0,23,0,0,0,0,0,2,0,43,5,3,0,38,1,0,0,0,1,2,0
"79",0,23,0,0,0,0,4,0,0,4,201,0,0,0,0,8,103,0,1,0,0,0,39,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,41,194,0,0,0,0,0,3,0,0,0,0,0,0,22,11,0,0,0,40,1,0,2,0,0,4,0
"80",0,22,0,1,0,0,3,0,0,1,43,0,0,5,0,33,29,0,0,0,0,0,49,44,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,49,232,0,0,1,0,0,0,0,0,0,0,0,0,0,57,0,0,0,35,0,0,1,0,0,16,1
"81",11,42,0,0,0,0,1,0,0,0,64,0,1,935,0,88,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114,0,0,1,0,0,0,4,1,97,185,0,0,9,0,0,12,1,0,0,0,0,0,0,114,28,10,0,52,6,5,2,0,0,34,0
"82",2,38,0,4,1,0,9,0,1,0,184,4,1,679,0,52,5,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,8,0,67,113,0,0,2,0,0,1,0,0,0,0,0,0,1,91,4,0,0,36,7,2,9,2,0,343,0
"83",0,327,0,42,0,0,4,3,0,0,889,20,0,13,0,39,22,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,22,0,68,131,0,1,28,0,0,19,0,0,1,0,0,0,102,84,1,1,0,2,0,24,146,1,0,130,0
"84",0,385,0,34,0,5,1,3,2,1,524,30,0,58,0,119,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,2,7,0,107,31,7,0,41,0,0,28,0,0,1,0,0,0,219,126,6,0,0,2,0,27,220,0,0,354,0
"85",0,3,0,3,0,1,0,0,3,0,14,66,0,2,0,12,1,0,0,1,0,0,111,131,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,77,440,0,0,22,0,0,101,0,0,0,0,0,0,1,52,11,0,0,6,0,1,1,0,0,82,0
"86",0,14,1,4,0,1,0,0,1,0,9,13,0,0,0,0,9,0,0,2,0,0,180,88,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,31,12,0,0,1,0,0,0,0,0,0,0,0,0,4,113,31,0,0,0,0,0,64,1,0,137,0
"87",0,2,0,7,0,5,0,0,0,0,11,49,0,0,0,13,14,2,6,1,0,0,345,188,0,0,0,0,0,0,0,0,136,1,0,0,0,0,0,2,0,118,40,0,0,2,0,0,0,0,0,0,0,1,0,1,46,8,0,0,0,0,0,1,0,0,442,0
