Site	Group	Season	Lakes	 Ephemera sp	Mirconecta sp.1	 Mirconecta sp.2	 Sigara sp.1	 Sigara sp.2	 Culicoides sp.	 Chaoborus sp.	 Conchapelopia sp.1	Conchapelopia sp.2	 Tanytarsus sp.1	 Tanytarsus sp.2	 Procladius  sp.1	 Procladius  sp.2	 Chironomus sp.	 Einfeldia sp.	 Anatopynia sp.	 Clinotarypussp.	 Tanypussp.	 Polypedilum sp.	 Acricotopus sp.	 Anotogaster sp.	 Demicryptochironomus sp.	 Cricotopus sp.	 Gyraulus albus 	 Radix pereger 	  Radix ovata	 Radix lagotis	 Radix auricularia	 Galaba sp.	 Galba pervia	 Valvata piscinalis  	 Corbicula fluminea	 Sphaerium lacustre	  Stenothyra glabra	 Parafossarulus striatulus	 Unio douglasiae	 Anodonta woodiana	Glossiphonia sp.	 Herpobdella sp.	Branchiura sowerkyi	Limnodrilus sp.1	Limnodrilus sp.2	Limnodrilus sp.3	 Exopalaemon modestus 
Sp-HB-1	2	Spring	HB	0	0	0	32	48	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	16	0	592	32	112	0	0	0	0	352	0	0	16	0
Sp-DL-1	5	Spring	DL	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
Sp-DL-2	5	Spring	DL	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	16	0	0
Sp-DL-3	5	Spring	DL	0	0	0	0	0	0	0	0	0	0	0	64	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	32	0	0	0	0	0	16	0	0	0
Sp-TL-1	4	Spring	TL	0	0	0	0	0	0	0	0	0	32	0	96	0	0	0	0	0	0	0	32	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-TL-2	3	Spring	TL	0	0	0	0	0	0	0	64	0	352	0	48	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-TL-3	2	Spring	TL	0	0	0	0	0	0	0	32	0	192	0	0	0	0	16	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
Sp-YC-1	5	Spring	YC	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	32	0	0	0	0	0	0	0	32	16	0	0	0	64	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Sp-XH-1	4	Spring	XH	0	0	0	0	0	0	0	0	0	0	0	1344	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-XH-2	4	Spring	XH	0	0	0	0	0	0	0	0	0	32	0	1088	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-XH-3	3	Spring	XH	0	0	0	0	0	0	0	48	0	896	0	64	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-BQ-1	5	Spring	BQ	0	0	0	0	0	0	16	0	0	32	0	0	0	32	0	0	0	0	0	0	0	0	32	16	0	0	112	0	64	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0
Sp-RB-2	3	Spring	RB	0	0	0	0	0	0	0	16	0	16	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Sp-RB-3	3	Spring	RB	0	0	0	0	0	16	16	64	0	32	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-RB-4	2	Spring	RB	0	0	0	0	0	16	0	16	0	32	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-NS-1	3	Spring	NS	0	0	0	0	0	64	0	240	0	96	0	992	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-NS-2	3	Spring	NS	0	0	0	0	0	32	0	64	0	272	0	208	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-HS-1	3	Spring	HS	0	0	0	0	0	0	0	48	64	144	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
Sp-HS-2	3	Spring	HS	0	0	0	0	0	0	0	64	0	144	0	64	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Sp-HS-3	3	Spring	HS	0	0	0	0	0	0	0	32	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
Sp-TH-1	2	Spring	TH	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp-TH-2	3	Spring	TH	0	0	0	0	0	16	0	48	0	80	0	128	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-HB-1	2	Summer	HB	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	80	48	0	32	80	0	272	0	816	928	352	16	0	16	16	96	0	0	0	32
Su-DL-1	4	Summer	DL	0	0	0	0	0	0	0	0	0	16	0	400	0	0	0	0	16	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-DL-2	5	Summer	DL	0	0	0	0	0	0	0	0	0	0	0	48	16	96	0	0	0	32	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
Su-DL-3	5	Summer	DL	0	0	0	0	0	0	0	0	0	0	0	48	0	32	0	0	0	32	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	32	0	16	0	0	0	0	0	0	0
Su-TL-1	5	Summer	TL	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-TL-2	3	Summer	TL	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-TL-3	3	Summer	TL	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-YC-1	5	Summer	YC	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	16	48	16	0	0	32	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
Su-XH-1	3	Summer	XH	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-XH-2	4	Summer	XH	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-XH-3	4	Summer	XH	0	0	0	0	0	0	0	0	0	32	0	32	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-RB-1	5	Summer	RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	224	16	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0
Su-RB-2	5	Summer	RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-RB-3	3	Summer	RB	0	0	0	0	0	0	0	16	0	48	0	32	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-RB-4	3	Summer	RB	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-AB-1	3	Summer	AB	0	0	0	0	0	0	0	112	0	496	0	80	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-AB-2	4	Summer	AB	0	0	0	0	0	48	0	0	0	288	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-YM-1	4	Summer	YM	0	0	0	0	0	16	0	0	0	128	0	128	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-NS-1	5	Summer	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	16	0	0	0	0	0	0	0	0	16	0	0	16	0	0	0	0	0	0	0
Su-NS-2	2	Summer	NS	0	0	0	0	0	0	0	0	0	208	16	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-HS-1	3	Summer	HS	16	0	0	0	0	0	0	32	0	32	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-HS-2	3	Summer	HS	0	0	0	0	0	0	0	32	0	16	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-HS-3	4	Summer	HS	0	0	0	0	0	16	0	0	0	64	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-TH-1	4	Summer	TH	0	0	0	0	0	16	0	0	0	32	0	240	0	0	16	0	0	0	0	0	0	0	0	16	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-TH-2	4	Summer	TH	0	0	0	0	0	16	0	0	0	0	0	272	0	0	0	0	0	0	0	16	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Su-AM-2	2	Summer	AM	0	32	32	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96
Su-AM-3	4	Summer	AM	0	0	0	0	0	0	0	0	128	192	0	512	0	0	0	0	0	16	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-HB-1	2	Autumn	HB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	304	0	0	0	480	0	0	0	0	0	0	0	0	0
Au-DL-1	4	Autumn	DL	0	0	0	0	0	0	0	0	0	0	0	288	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
Au-DL-2	4	Autumn	DL	0	0	0	0	0	0	0	0	0	0	0	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Au-DL-3	4	Autumn	DL	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-TL-1	2	Autumn	TL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Au-TL-2	1	Autumn	TL	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-TL-3	3	Autumn	TL	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-YC-1	1	Autumn	YC	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-XH-1	3	Autumn	XH	0	0	0	0	0	0	0	32	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-XH-2	3	Autumn	XH	0	0	0	0	0	0	0	16	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-XH-3	1	Autumn	XH	0	0	0	0	0	0	0	32	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-RB-1	1	Autumn	RB	0	0	0	0	0	96	0	96	0	0	0	288	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
Au-RB-2	1	Autumn	RB	0	0	0	0	0	0	16	0	0	0	16	208	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-RB-3	3	Autumn	RB	0	0	0	0	0	0	0	64	0	0	0	32	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-RB-4	1	Autumn	RB	0	0	0	0	0	0	16	16	0	0	32	80	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-AB-1	3	Autumn	AB	0	0	0	0	0	0	0	64	0	0	0	48	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-AB-2	3	Autumn	AB	16	0	0	0	0	16	0	80	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-YM-1	1	Autumn	YM	0	0	0	0	0	0	16	80	0	0	16	592	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-NS-1	1	Autumn	NS	0	0	0	0	0	0	0	112	0	0	0	192	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-NS-2	1	Autumn	NS	0	0	0	0	0	0	0	32	0	0	32	48	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-HS-1	1	Autumn	HS	0	0	0	0	0	0	0	96	0	0	32	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-HS-2	1	Autumn	HS	0	0	0	0	0	0	0	48	0	0	0	432	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-HS-3	1	Autumn	HS	16	0	0	0	0	0	0	64	0	0	0	32	0	0	32	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Au-TH-1	1	Autumn	TH	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	32	0	0	0	0
Au-TH-2	1	Autumn	TH	0	0	0	0	0	0	0	80	0	0	0	304	0	0	0	32	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0